id,en,position,ch
LEUNG Kwok-hung,LEUNG Kwok-hung,0,梁國雄
Albert CHAN,Albert CHAN,1,陳偉業
CHAN Chi-chuen,CHAN Chi-chuen,2,陳志全
WONG Yuk-man,WONG Yuk-man,3,黃毓民
Gary FAN,Gary FAN,4,范國威
Claudia MO,Claudia MO,5,毛孟靜
Cyd HO,Cyd HO,6,何秀蘭
LEE Cheuk-yan,LEE Cheuk-yan,7,李卓人
LEUNG Yiu-chung,LEUNG Yiu-chung,8,梁耀忠
Dr Fernando CHEUNG,Dr Fernando CHEUNG,9,張超雄
Dr KWOK Ka-ki,Dr KWOK Ka-ki,10,郭家麒
Dr Kenneth CHAN,Dr Kenneth CHAN,11,陳家洛
Dr Helena WONG,Dr Helena WONG,12,黃碧雲
Alan LEONG,Alan LEONG,13,梁家傑
Emily LAU,Emily LAU,14,劉慧卿
SIN Chung-kai,SIN Chung-kai,15,單仲偕
IP Kin-yuen,IP Kin-yuen,16,葉建源
Albert HO,Albert HO,17,何俊仁
CHEUNG Kwok-che,CHEUNG Kwok-che,18,張國柱
WU Chi-wai,WU Chi-wai,19,胡志偉
Frederick FUNG,Frederick FUNG,20,馮檢基
Dennis KWOK,Dennis KWOK,21,郭榮鏗
James TO,James TO,22,涂謹申
Ronny TONG,Ronny TONG,23,湯家驊
Prof Joseph LEE,Prof Joseph LEE,24,李國麟
Charles Peter MOK,Charles Peter MOK,25,莫乃光
Kenneth LEUNG,Kenneth LEUNG,26,梁繼昌
TSANG Yok-sing,TSANG Yok-sing,27,曾鈺成
Dr LEUNG Ka-lau,Dr LEUNG Ka-lau,28,梁家騮
Dr LAM Tai-fai,Dr LAM Tai-fai,29,林大輝
Vincent FANG,Vincent FANG,30,方剛
James TIEN,James TIEN,31,田北俊
Michael TIEN,Michael TIEN,32,田北辰
Abraham SHEK,Abraham SHEK,33,石禮謙
CHAN Yuen-han,CHAN Yuen-han,34,陳婉嫻
Mrs Regina IP,Mrs Regina IP,35,葉劉淑儀
Dr LAU Wong-fat,Dr LAU Wong-fat,36,劉皇發
CHAN Hak-kan,CHAN Hak-kan,37,陳克勤
Dr Priscilla LEUNG,Dr Priscilla LEUNG,38,梁美芬
Tommy CHEUNG,Tommy CHEUNG,39,張宇人
CHUNG Kwok-pan,CHUNG Kwok-pan,40,鍾國斌
Dr CHIANG Lai-wan,Dr CHIANG Lai-wan,41,蔣麗芸
WONG Kwok-kin,WONG Kwok-kin,42,黃國健
Starry LEE,Starry LEE,43,李慧琼
Jeffrey LAM,Jeffrey LAM,44,林健鋒
CHAN Kin-por,CHAN Kin-por,45,陳健波
CHAN Han-pan,CHAN Han-pan,46,陳恒鑌
Christopher CHUNG,Christopher CHUNG,47,鍾樹根
Frankie YICK,Frankie YICK,48,易志明
Paul TSE,Paul TSE,49,謝偉俊
Martin LIAO,Martin LIAO,50,廖長江
NG Leung-sing,NG Leung-sing,51,吳亮星
MA Fung-kwok,MA Fung-kwok,52,馬逢國
TANG Ka-piu,TANG Ka-piu,53,鄧家彪
KWOK Wai-keung,KWOK Wai-keung,54,郭偉强
Dr Elizabeth QUAT,Dr Elizabeth QUAT,55,葛珮帆
YIU Si-wing,YIU Si-wing,56,姚思榮
LEUNG Che-cheung,LEUNG Che-cheung,57,梁志祥
IP Kwok-him,IP Kwok-him,58,葉國謙
WONG Kwok-hing,WONG Kwok-hing,59,王國興
Tony TSE,Tony TSE,60,謝偉銓
Alice MAK,Alice MAK,61,麥美娟
Andrew LEUNG,Andrew LEUNG,62,梁君彥
POON Siu-ping,POON Siu-ping,63,潘兆平
CHAN Kam-lam,CHAN Kam-lam,64,陳鑑林
Christopher CHEUNG,Christopher CHEUNG,65,張華峰
Steven HO,Steven HO,66,何俊賢
WONG Ting-kwong,WONG Ting-kwong,67,黃定光
Ir Dr LO Wai-kwok,Ir Dr LO Wai-kwok,68,盧偉國
TAM Yiu-chung,TAM Yiu-chung,69,譚耀宗
